class,b,c,d,e,f,g,h,i,k,k,l,m,n,o,p
0,73,2,5.75,20528,0.001839874,12.86915592,18.18132786,35.38403671,-15.62866634,44.86214838,-17.08557659,22.34360924,0.182452238,4.209875918,237.7852387
0,73,2,5.49,20528,0.00190206,15.03713655,16.49798343,36.54063877,-11.31748921,48.68518143,-16.52952323,28.02052278,0.158073422,3.972397285,178.063448
0,73,2,6.01,20529,0.001546096,14.03382281,16.35678156,32.3803786,-10.82708522,47.78319995,-14.04996034,34.57731273,0.208364424,4.884827472,162.2529647
0,73,2,5.75,20529,0.001565014,7.462318271,16.38943671,27.44749049,-15.7795943,38.24861555,-10.87249029,30.26494443,0.101271492,5.088688677,222.7766098
0,73,2,5.87,20529,0.001762516,14.96404345,14.71220268,29.47405118,-9.930774351,47.33322774,-11.98946709,31.17860917,0.140753001,4.195799316,135.5686885
1,73,2,6.01,18831,0.001975691,12.99833637,-6.740604697,10.82539763,-12.91809797,14.40962857,35.04873525,36.93825491,0.272601053,5.861583139,128.4119974
1,73,2,5.95,18832,0.002283006,13.31453161,2.238156962,12.05323546,-9.773356492,27.25087802,8.076036644,24.29468003,0.189883628,4.081455448,188.3410098
1,73,2,5.61,18832,0.002421984,7.195671908,5.093433641,13.99855677,-7.748031243,23.48688778,9.850177246,35.04962196,0.145675766,4.854895315,266.536774
1,73,2,5.53,18921,0.001648444,14.38420182,12.98300175,15.52549701,-7.479410616,33.91950033,-0.904148535,24.6325896,0.064414849,4.797330263,145.5623051
1,73,2,5.79,18923,0.002341707,15.46754845,12.49679763,18.13575536,-16.10256909,25.48918946,14.966248,21.15749278,0.114701351,3.258684599,366.315694
1,73,2,5.77,18980,0.002329582,1.90662215,12.55857177,11.44018092,-6.129025197,21.11325488,-4.898547591,28.12917913,0.156943194,2.644520643,153.5955906
1,73,2,5.29,18981,0.002461844,-2.441585407,12.67773167,17.93534466,-8.297724497,35.53513302,-14.14395283,48.15206322,0.135826458,4.771268759,241.3109023
1,73,2,5.79,18895,0.002422226,4.543898769,3.025822539,14.25721974,-7.621641626,35.50014451,16.67559793,64.69522018,0.077611201,2.863200238,189.767073
1,73,2,5.63,18895,0.004709233,-2.901788726,3.002873644,11.02392441,-3.741893395,29.55682673,10.89073162,37.16203806,0.159205676,4.332721901,320.1940198
1,73,2,6.01,18896,0.002996205,3.924253,5.932753305,11.22257823,-7.645023911,15.76428569,18.11770232,49.46032046,0.093885977,4.334373763,167.1737752
